"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.296088708E0,-9.692916231E-1,1.068111176E0,3.703269714E-1
3.306138708E0,-9.031278198E-1,9.768870100E-1,4.898768038E-1
3.316187708E0,-8.922629622E-1,5.353286728E-1,7.010554290E-1
3.326237708E0,-8.371484962E-1,-2.650542855E-2,7.890630412E-1
3.336286708E0,-7.566758984E-1,-4.934134921E-1,9.184408736E-1
3.346336708E0,-4.716008927E-1,-9.645642954E-1,7.906493908E-1
3.356385708E0,-2.393514604E-1,-1.398432082E0,5.774061137E-1
3.366434708E0,-7.348495580E-2,-1.737649820E0,1.347069848E-1
3.376484708E0,-6.852662656E-2,-1.967902647E0,-5.912061274E-1
3.386533708E0,-1.488698547E-1,-2.093124864E0,-1.488140357E0
3.396584333E0,-1.761254079E-1,-1.992797168E0,-2.385160541E0
3.406633333E0,-1.783740643E-1,-1.725499013E0,-3.106014057E0
3.416683333E0,-1.218681072E-1,-1.371224695E0,-3.474703224E0
3.426732333E0,-8.907187857E-2,-9.912878251E-1,-3.409161199E0
3.436781333E0,-2.428005137E-2,-7.445359093E-1,-3.030924699E0
3.446831333E0,-2.020249553E-2,-8.220925006E-1,-2.644772823E0
3.456880333E0,-4.153255351E-2,-1.195623746E0,-2.432313073E0
3.466930333E0,-9.978284474E-2,-1.633425832E0,-2.501400849E0
3.476979333E0,-7.497106221E-2,-2.021385082E0,-2.660849158E0
3.487029333E0,-1.380445755E-1,-2.319491047E0,-2.919511852E0
3.497078333E0,-1.922301382E-1,-2.455997220E0,-3.116046710E0
3.507128333E0,-2.818861170E-1,-2.428128220E0,-3.444987674E0
3.517177333E0,-4.207851534E-1,-2.207078910E0,-3.721535831E0
3.527226333E0,-4.477150168E-1,-1.747354736E0,-3.888476177E0
3.537276333E0,-3.347386608E-1,-1.168754621E0,-3.852455574E0
3.547325333E0,-1.813505164E-1,-6.543835384E-1,-3.666310049E0
3.557375333E0,2.787681989E-2,-3.382868609E-1,-3.511941801E0
3.567424333E0,1.967468565E-1,-2.534636423E-1,-3.451214958E0
3.577474333E0,3.218778927E-1,-2.179494086E-1,-3.438315416E0
3.587523333E0,2.370270826E-1,2.280297160E-2,-3.174010743E0
3.597572333E0,6.665895279E-2,3.425357401E-1,-2.486293983E0
3.607622333E0,1.085321797E-2,6.488050023E-1,-1.361204907E0
3.617671333E0,-5.412891783E-2,8.386000675E-1,-3.345917130E-1
3.627721333E0,-2.262262154E-1,9.726512870E-1,4.722088569E-1
3.637770333E0,-2.353799950E-1,9.035778362E-1,1.101303772E0
3.647820333E0,-1.436597663E-1,5.882158613E-1,1.361132986E0
