"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.917836130E1,6.098731645E1,2.566020287E1,9.818029420E1,1.064315950E0,2.189203682E2,9.327748035E0,9.381466297E0
6.017836165E1,6.098730435E1,2.566018713E1,9.800659215E1,9.127198675E-1,2.152783651E2,9.339277711E0,9.047195640E0
6.117836201E1,6.098728763E1,2.566016667E1,9.903554176E1,9.016885224E-1,2.064537416E2,9.576630478E0,9.111136325E0
6.217836177E1,6.098727353E1,2.566014447E1,9.782926415E1,6.936237790E-1,1.985252338E2,9.563182741E0,9.020796955E0
6.317836189E1,6.098726428E1,2.566012189E1,9.822462237E1,5.994585487E-1,2.058862286E2,9.638169787E0,8.736938762E0
6.417836189E1,6.098724697E1,2.566010310E1,9.817911064E1,9.035861827E-1,2.049978037E2,9.852762864E0,8.607887313E0
6.517836165E1,6.098724014E1,2.566008476E1,9.930027402E1,7.454034677E-1,2.114083343E2,1.000845596E1,8.601092349E0
6.617836189E1,6.098723087E1,2.566006637E1,9.834549443E1,7.555483635E-1,2.119935024E2,1.002787289E1,8.503752440E0
6.717836118E1,6.098722121E1,2.566004619E1,9.831000402E1,8.171130721E-1,2.103831334E2,1.013208017E1,8.468069445E0
6.817836189E1,6.098721244E1,2.566002122E1,9.854201842E1,8.510256993E-1,2.102961518E2,1.020740955E1,8.416531437E0
6.917836499E1,6.098720369E1,2.565999242E1,9.877513725E1,1.030262972E0,2.150807672E2,1.049626953E1,8.640594854E0
7.017836189E1,6.098719820E1,2.565996105E1,9.892946270E1,9.488294324E-1,2.190619651E2,1.075990500E1,8.701515288E0
7.117836201E1,6.098718089E1,2.565993874E1,1.000849309E2,1.201201964E0,2.175909097E2,1.072418836E1,8.595173113E0
7.217836094E1,6.098717116E1,2.565993018E1,9.917102893E1,1.071124071E0,2.088688190E2,1.069554679E1,8.542267895E0
7.317836189E1,6.098715928E1,2.565990529E1,9.937801416E1,1.100889963E0,2.114553110E2,1.088291608E1,8.565410237E0
7.417836189E1,6.098714492E1,2.565988433E1,9.918808913E1,1.231166394E0,2.140676822E2,1.101622495E1,8.782032610E0
7.517836213E1,6.098713201E1,2.565987417E1,9.984623368E1,1.092358197E0,2.070482267E2,1.114022969E1,8.812703814E0
7.617836154E1,6.098712437E1,2.565985041E1,9.965537556E1,1.071582787E0,2.114257151E2,1.098443486E1,8.689000516E0
7.717836130E1,6.098711645E1,2.565983710E1,9.962147529E1,9.280930019E-1,2.101353374E2,1.089442948E1,8.469796712E0
7.817836225E1,6.098710347E1,2.565981210E1,1.000633675E2,1.083295342E0,2.123236515E2,1.099970397E1,8.513786200E0
7.917836094E1,6.098709173E1,2.565978174E1,1.011669332E2,1.269858292E0,2.174240053E2,1.091267772E1,8.676090883E0
8.017836165E1,6.098708107E1,2.565975764E1,1.018628396E2,1.288806812E0,2.176679447E2,1.085525413E1,8.414447196E0
8.117836225E1,6.098707269E1,2.565973868E1,1.016773651E2,1.187261129E0,2.147979570E2,1.100066335E1,8.490133079E0
8.217836154E1,6.098706380E1,2.565973060E1,1.024465983E2,9.668559350E-1,2.088564449E2,1.106510689E1,8.575342319E0
8.317836201E1,6.098705165E1,2.565971484E1,1.033854096E2,1.016845505E0,2.084489528E2,1.115318284E1,8.948147285E0
8.417836201E1,6.098703834E1,2.565969552E1,1.033983444E2,1.118079587E0,2.113507660E2,1.111083584E1,8.974648278E0
8.517836142E1,6.098702551E1,2.565968397E1,1.040004665E2,1.032280846E0,2.089651611E2,1.099257695E1,8.894642643E0
8.617836177E1,6.098701410E1,2.565966818E1,1.049612408E2,6.858476003E-1,2.003580219E2,1.101721271E1,9.148210884E0
8.717836118E1,6.098701106E1,2.565966530E1,1.046458919E2,3.892865168E-1,1.868114278E2,1.083956467E1,9.042334434E0
8.817836154E1,6.098700375E1,2.565963080E1,1.050030910E2,2.806451789E-1,1.856940229E2,1.067174881E1,8.879326405E0
8.917836225E1,6.098698936E1,2.565960036E1,1.057091297E2,6.519890789E-1,1.979348773E2,1.088440830E1,8.844709270E0
9.017836189E1,6.098697713E1,2.565957152E1,1.054382872E2,7.760263459E-1,2.156138778E2,1.092767452E1,8.912335100E0
9.117836201E1,6.098696572E1,2.565954993E1,1.056463835E2,7.124827162E-1,2.203035416E2,1.154789852E1,9.329071798E0
9.217836118E1,6.098695599E1,2.565952092E1,1.067924810E2,5.403065768E-1,2.368661785E2,1.227840978E1,9.940274525E0
9.317836249E1,6.098694552E1,2.565950103E1,1.072135529E2,3.161196619E-1,2.300169773E2,1.225064373E1,1.003658990E1
9.417836142E1,6.098693443E1,2.565947394E1,1.084557465E2,3.972296031E-1,2.300169536E2,1.217773312E1,9.917993008E0
9.517836189E1,6.098692579E1,2.565945458E1,1.090354400E2,1.515767836E-1,2.300169364E2,1.230253969E1,1.017757208E1
9.617836177E1,6.098691643E1,2.565942039E1,1.084280764E2,4.926101034E-1,2.356502785E2,1.247263340E1,1.025467809E1
9.717836106E1,6.098690735E1,2.565940081E1,1.088362003E2,5.647351656E-1,2.446199911E2,1.241424388E1,1.010985118E1
9.817836118E1,6.098689790E1,2.565938917E1,1.093050728E2,4.834348049E-1,2.408356202E2,1.251369165E1,1.015842310E1
9.917836130E1,6.098689288E1,2.565937104E1,1.099554150E2,3.803452462E-1,2.507079137E2,1.253764430E1,1.029617632E1
1.001783615E2,6.098687800E1,2.565935045E1,1.102683127E2,6.828079197E-1,2.472117482E2,1.256894048E1,1.025922333E1
1.011783621E2,6.098686427E1,2.565934011E1,1.104679131E2,7.003176345E-1,2.334777596E2,1.245860309E1,1.022457883E1
1.021783623E2,6.098685745E1,2.565931708E1,1.105167984E2,7.963585407E-1,2.276232079E2,1.233725314E1,1.021827945E1
1.031783613E2,6.098684974E1,2.565929857E1,1.101056019E2,9.497357478E-1,2.251298468E2,1.228701556E1,1.031241120E1
1.041783623E2,6.098683825E1,2.565928982E1,1.109683730E2,9.510173664E-1,2.139623320E2,1.215327558E1,1.026177193E1
1.051783617E2,6.098682930E1,2.565926994E1,1.098316137E2,9.878557224E-1,2.199196428E2,1.196244184E1,9.952025853E0
1.061783612E2,6.098681785E1,2.565924618E1,1.105693880E2,1.236254109E0,2.205598016E2,1.174160120E1,9.653123646E0
1.071783619E2,6.098680787E1,2.565923257E1,1.104054443E2,1.221758699E0,2.169300066E2,1.159523261E1,9.336863972E0
1.081783613E2,6.098680263E1,2.565921712E1,1.099764250E2,9.991175623E-1,2.159006007E2,1.137118987E1,8.996502819E0
1.091783619E2,6.098679337E1,2.565919286E1,1.096764203E2,1.084412460E0,2.168138056E2,1.115928393E1,8.878166272E0
1.101783619E2,6.098678519E1,2.565917326E1,1.096598125E2,1.044169882E0,2.185193566E2,1.089581828E1,8.391213736E0
1.111783619E2,6.098676855E1,2.565917091E1,1.091511371E2,9.771017780E-1,2.156468340E2,1.065176296E1,8.415472831E0
1.121783613E2,6.098675715E1,2.565915676E1,1.098356598E2,1.082372772E0,2.149762272E2,1.038072197E1,7.958808207E0
1.131783620E2,6.098674725E1,2.565914238E1,1.084756419E2,1.082302329E0,2.157918748E2,1.026222427E1,7.679977345E0
1.141783621E2,6.098673498E1,2.565911973E1,1.086383105E2,1.211644048E0,2.171034264E2,1.013404084E1,7.460775175E0
1.151783624E2,6.098672557E1,2.565909919E1,1.085587762E2,1.057705650E0,2.139536530E2,1.008364630E1,7.542487773E0
1.161783617E2,6.098671580E1,2.565907499E1,1.087509816E2,1.024075967E0,2.182841964E2,9.880830974E0,7.281436176E0
1.171783617E2,6.098670746E1,2.565904531E1,1.083043092E2,1.046369321E0,2.223287839E2,9.699792002E0,7.126891942E0
1.181783621E2,6.098669311E1,2.565903047E1,1.081186957E2,1.028669305E0,2.167953631E2,9.511729781E0,6.945946506E0
1.191783620E2,6.098668075E1,2.565900519E1,1.081490139E2,1.142900111E0,2.195970110E2,9.370550544E0,6.709306202E0
1.201783617E2,6.098667208E1,2.565897777E1,1.078959785E2,1.138307092E0,2.253878078E2,9.125816531E0,6.621195033E0
1.211783619E2,6.098665992E1,2.565895674E1,1.077334242E2,1.166406672E0,2.232922857E2,8.865598645E0,6.332306081E0
1.221783612E2,6.098664856E1,2.565893562E1,1.080084294E2,1.099198706E0,2.249931977E2,8.840168938E0,6.192817559E0
1.231783626E2,6.098663338E1,2.565891690E1,1.071378493E2,1.220491707E0,2.212700661E2,8.697944767E0,6.040742014E0
1.241783611E2,6.098662171E1,2.565889587E1,1.075993098E2,1.173187924E0,2.227527455E2,8.573630766E0,5.934904882E0
1.251783618E2,6.098660970E1,2.565887063E1,1.079517775E2,1.335131887E0,2.249431319E2,8.439345025E0,5.851391859E0
1.261783631E2,6.098659943E1,2.565884610E1,1.074378183E2,1.258330718E0,2.228343916E2,8.379790815E0,5.793694834E0
1.271783624E2,6.098658823E1,2.565883358E1,1.077832729E2,9.809129216E-1,2.224559142E2,8.372769913E0,5.748036013E0
1.281783623E2,6.098657467E1,2.565881989E1,1.074662772E2,9.053069236E-1,2.200974249E2,8.348359851E0,5.789194056E0
1.291783620E2,6.098656782E1,2.565880267E1,1.083436439E2,7.068676984E-1,2.265935467E2,8.286785744E0,5.707343682E0
1.301783617E2,6.098655906E1,2.565877474E1,1.074564144E2,9.273704266E-1,2.324159656E2,8.220825370E0,5.689410229E0
1.311783612E2,6.098654867E1,2.565874861E1,1.077971870E2,9.891323857E-1,2.327843750E2,8.157696747E0,5.703607314E0
1.321783623E2,6.098653841E1,2.565872630E1,1.076956012E2,1.000355644E0,2.334617406E2,8.083950805E0,5.759662393E0
1.331783621E2,6.098652812E1,2.565870323E1,1.081229244E2,1.018780514E0,2.314415211E2,8.219838353E0,5.930963077E0
1.341779633E2,6.098651947E1,2.565867846E1,1.083374660E2,9.428186931E-1,2.250830689E2,8.182927144E0,6.020928577E0
1.351776469E2,6.098651546E1,2.565866096E1,1.084940649E2,6.585973451E-1,2.258254799E2,8.094234175E0,6.009158737E0
1.361776469E2,6.098650527E1,2.565863311E1,1.092995067E2,7.805630317E-1,2.251393855E2,8.028139950E0,6.145107321E0
1.371779516E2,6.098649041E1,2.565861630E1,1.086611377E2,9.339203895E-1,2.232658643E2,7.926648256E0,6.326635970E0
1.381776350E2,6.098648207E1,2.565859310E1,1.092268417E2,9.373996293E-1,2.210785543E2,7.733937502E0,6.353215411E0
1.391776360E2,6.098647072E1,2.565856975E1,1.096022065E2,1.066492942E0,2.225309924E2,7.796851044E0,6.397465541E0
1.401779437E2,6.098646552E1,2.565855013E1,1.100398869E2,9.512311745E-1,2.256487792E2,7.773228593E0,6.303833685E0
1.411779375E2,6.098645898E1,2.565853117E1,1.104347572E2,8.567713250E-1,2.283827297E2,7.824063967E0,6.294824429E0
1.421779376E2,6.098645050E1,2.565851999E1,1.109116874E2,7.784001152E-1,2.254513877E2,7.973170668E0,6.383456587E0
1.431779341E2,6.098644369E1,2.565849642E1,1.113660126E2,7.665596004E-1,2.283204716E2,7.938431477E0,6.420332586E0
1.441776145E2,6.098643265E1,2.565848569E1,1.121160379E2,6.568126840E-1,2.178347779E2,7.964856908E0,6.579033694E0
1.451776149E2,6.098642550E1,2.565847066E1,1.122632032E2,5.413023107E-1,2.058664310E2,7.921791401E0,6.773187170E0
1.461779267E2,6.098641809E1,2.565845238E1,1.117346729E2,6.731434116E-1,2.075162616E2,8.046767877E0,6.902857386E0
1.471776007E2,6.098641251E1,2.565843822E1,1.119760006E2,6.710105573E-1,2.102760526E2,7.987219645E0,6.805524047E0
1.481776003E2,6.098640773E1,2.565843709E1,1.125229902E2,4.515954662E-1,1.991114074E2,8.113109064E0,6.960635894E0
